weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
6596.1772,14859.894,2.7724142,6656.3037,95.20874,18937.412,1377.7788,2.8143606,0.101028286
7827.4893,41439.816,3.7524548,7818.6787,104.10687,40598.016,2948.0842,3.780075,0.1813999
8876.886,17528.715,1.9067924,8867.735,220.1178,14448.918,2131.1047,1.9713135,0.15376522
6565.0586,34542.23,4.325405,6491.489,99.396515,35655.176,1788.7451,4.3367715,0.16750546
8324.949,17005.604,2.4305727,8398.643,140.72934,19944.346,1423.1428,2.526171,0.09254715
8327.816,13224.476,2.6239827,8365.654,135.72316,14937.103,1034.805,2.5162597,0.08963058
9541.426,13553.293,2.1503725,9477.159,292.3104,13359.46,1151.9734,2.1526077,0.121561036
5031.063,108147.66,11.784437,5035.4497,208.35355,134888.66,22640.844,13.800806,2.0042977
6579.758,24633.252,3.3093302,6652.306,105.40995,23862.154,1602.9832,3.3168643,0.12233603
6642.8223,28082.55,4.0419827,6678.53,116.09442,29762.342,1771.9777,3.7922616,0.1567768
7236.8887,16140.461,2.8270493,7236.5327,84.94042,15764.591,1292.5387,2.6325312,0.08117668
5063.0684,132548.16,13.728535,5039.1577,204.88504,134519.1,21448.611,13.76097,1.8269637
6972.9927,24750.893,4.1925197,6961.4126,96.6208,24903.28,1745.5378,3.8234253,0.1423222
6059.598,15170.555,2.779207,6120.426,129.38553,17588.477,1342.2415,2.923958,0.13333221
7651.13,18914.766,2.5378172,7708.666,89.32261,19759.895,1520.9161,2.5761437,0.10365107
6840.9272,21783.508,3.044983,6838.412,98.91574,21004.217,1631.7941,2.9858334,0.122264296
8904.637,8634.826,1.7896101,8918.254,200.12326,9797.227,980.5793,1.821542,0.109297834
6015.5215,45884.73,4.4038415,6038.1724,144.05624,47864.53,4116.09,4.719318,0.2633867
8332.695,19776.418,2.6346111,8296.289,130.13295,18099.47,1476.6104,2.6974216,0.098047495
7344.1416,15199.383,2.491127,7399.777,92.33347,15439.121,1276.4574,2.4115732,0.097842
8756.446,10331.096,1.6025307,8709.022,196.29933,9889.506,796.58856,1.6919944,0.114517994
